Set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Standard
Unstable,Socketed Sprocketer,Uncommon,"{T}: Uninstall all results from Socketed Sprocketer, then roll a six-sided die. Install the result on Socketed Sprocketer. (Put the die on this card.)
You may uninstall a result from Socketed Sprocketer to use it for a die you rolled.
Uninstall a 6 from Socketed Sprocketer: Draw a card.",{U},Artifact,,,1.0,No
Unstable,Spell Suck,Common,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{U}{U},Instant,,,4.0,No
Unstable,Spy Eye,Uncommon,"Flying
Whenever Spy Eye deals combat damage to a player, you may draw a card from that player's library.",{2}{U}{U},Creature,1,3,4.0,No
Unstable,Suspicious Nanny,Uncommon,"Whenever Suspicious Nanny deals combat damage to a player, it reassembles target Contraption that player controls. (Gain control of it and move it onto one of your sprockets.)",{4}{U},Creature,3,4,5.0,No
Unstable,Time Out,Common,"Roll a six-sided die. Put target nonland permanent into its owner's library just beneath the top X cards of that library, where X is the result.",{4}{U},Instant,,,5.0,No
Unstable,Very Cryptic Command (b),Rare,"Choose two â€”
â€¢ Untap two target permanents.
â€¢ Tap each permanent target player controls with exactly one word in its name.
â€¢ Discard all the cards in your hand, then draw that many cards.
â€¢ Return target instant or sorcery card from your graveyard to your hand.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Very Cryptic Command (a),Rare,"Choose two â€”
â€¢ Switch target creature's power and toughness until end of turn.
â€¢ Target creature can't be blocked this turn.
â€¢ Draw a card. If that card's art is by Wayne England, you may reveal it and draw another card.
â€¢ Assemble a Contraption.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Very Cryptic Command (c),Rare,"Choose two â€”
â€¢ Draw a card from an opponent's library.
â€¢ Copy target instant or sorcery spell. You may choose new targets for the copy.
â€¢ Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.
â€¢ Create a 1/1 colorless Gnome artifact creature token.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Very Cryptic Command (d),Rare,"Choose two â€”
â€¢ Return target permanent to its controller's hand.
â€¢ Draw two cards, then discard a card.
â€¢ Change the target of target spell with a single target.
â€¢ Turn over target nontoken creature.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Very Cryptic Command (e),Rare,"Choose two â€”
â€¢ Counter target black-bordered spell.
â€¢ Return target creature to its owner's hand.
â€¢ Untap each permanent you control with a watermark.
â€¢ Roll two six-sided dice. Target player puts the top X cards of his or her library into his or her graveyard, where X is the total of those results.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Very Cryptic Command (f),Rare,"Choose two â€”
â€¢ Scry 3.
â€¢ Create a 2/2 black Rogue creature token with menace.
â€¢ Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.
â€¢ Return all artifacts target player controls to their owner's hand.",{1}{U}{U}{U},Instant,,,4.0,No
Unstable,Wall of Fortune,Common,"Defender
You may tap an untapped Wall you control to have any player reroll a die that player rolled.",{1}{U},Artifact,,,2.0,No
Unstable,Big Boa Constrictor,Common,"When this creature enters the battlefield, roll a six-sided die. Target opponent loses life equal to the result.",{3}{B},Host,,,4.0,No
Unstable,capital offense,Common,"target creature gets -x/-x until end of turn, where x is the number of times a capital letter appears in its rules text. (ignore reminder text and flavor text.)",{2}{B}{B},Instant,,,4.0,No
Unstable,Dirty Rat,Common,"When this creature enters the battlefield, target opponent discards a card.",{1}{B},Host,,,2.0,No
Unstable,Extremely Slow Zombie,Common,Last strike (This creature deals combat damage after creatures without last strike.),{1}{B},Creature,3,3,2.0,No
Unstable,"Finders, Keepers",Common,"Destroy target creature, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{5}{B},Sorcery,,,6.0,No
Unstable,Hangman,Rare,"As Hangman enters the battlefield, secretly note a word with six to eight letters.
{1}: Target player who doesn't control Hangman guesses the noted word or an unguessed letter in that word. If he or she guesses wrong, put a +1/+1 counter on Hangman. Any player may activate this ability.
When a player guesses the noted word or all of its letters, sacrifice Hangman.",{B},Creature,1,1,1.0,No
Unstable,Hazmat Suit (Used),Common,"Enchant creature
Enchanted creature gets +2/+1 and has menace.
Whenever a player's skin or fingernail touches enchanted creature, that player loses 2 life.",{3}{B},Enchantment,,,4.0,No
Unstable,Hoisted Hireling,Common,Hoisted Hireling has flying as long as it's being held above the battlefield.,{2}{B},Creature,2,1,3.0,No
Unstable,Inhumaniac,Uncommon,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac.",{1}{B},Creature,1,1,2.0,No
Unstable,Masterful Ninja,Rare,"Haste
Reveal Masterful Ninja from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn.
{1}{B}: Masterful Ninja gets +1/+1 until end of turn.",{2}{B},Creature,1,1,3.0,No
Unstable,Ninja,Uncommon,"You may activate Ninja's augment ability any time you could cast an instant.
Whenever this creature deals combat damage to a player,
Augment {2}{B} ({2}{B}, Reveal this card from your hand: Combine it with target host. Augment only asâ€”oh, nevermind.)",,Creature,1,0,0.0,No
Unstable,Old-Fashioned Vampire,Uncommon,"Flying
Old-Fashioned Vampire gets +2/+2 and has deathtouch as long as it's dark outdoors.",{3}{B}{B},Creature,3,3,5.0,No
Unstable,Over My Dead Bodies,Rare,"Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.)
Creature cards in your graveyard have haste.",{4}{B}{B},Enchantment,,,6.0,No
Unstable,Overt Operative,Uncommon,"Menace
Whenever Overt Operative deals combat damage to a player, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{B},Creature,2,3,4.0,No
Unstable,"""Rumors of My Death . . .""",Uncommon,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.",{2}{B},Enchantment,,,3.0,No
Unstable,Skull Saucer,Uncommon,"Flying
When Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table.",{4}{B}{B},Creature,4,1,6.0,No
Unstable,Sly Spy (a),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player reveals his or her hand. You choose a card from it with the longest name. That player discards that card.",{2}{B},Creature,2,2,3.0,No
Unstable,Sly Spy (b),Uncommon,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing left in its art. (Creatures without faces don't face anywhere.)",{2}{B},Creature,2,2,3.0,No
Unstable,Sly Spy (c),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player loses a finger until Sly Spy leaves the battlefield. (The finger is chosen by its owner and can't roll dice or touch cards.)",{2}{B},Creature,2,2,3.0,No
Unstable,Sly Spy (d),Uncommon,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing right in its art. (Creatures without faces don't face anywhere.)",{2}{B},Creature,2,2,3.0,No
Unstable,Sly Spy (e),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player reveals the top card of his or her library. Put that card into your hand and you lose life equal to its converted mana cost.",{2}{B},Creature,2,2,3.0,No
Unstable,Sly Spy (f),Uncommon,"Whenever Sly Spy deals combat damage to a player, roll a six-sided die. That player loses life equal to the result.",{2}{B},Creature,2,2,3.0,No
Unstable,Snickering Squirrel,Common,You may tap Snickering Squirrel to increase the result of a die any player rolled by 1.,{B},Creature,1,1,1.0,No
Unstable,"Spike, Tournament Grinder",Rare,"({B/P} can be paid with either {B} or 2 life.)
{B/P}{B/P}{B/P}{B/P}: Choose a card you own from outside the game that has been banned or restricted in a Constructed format, reveal that card, and put it into your hand.",{2}{B/P}{B/P},Creature,1,1,4.0,No
Unstable,Squirrel-Powered Scheme,Uncommon,Increase the result of each die you roll by 2.,{2}{B},Enchantment,,,3.0,No
Unstable,Steady-Handed Mook,Common,"Deathtouch
When Steady-Handed Mook enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{B},Creature,1,1,3.0,No
Unstable,Stinging Scorpion,Common,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.",{4}{B},Host,,,5.0,No
Unstable,Subcontract,Common,A person outside the game looks at target opponent's hand and chooses a nonland card from it. That player discards that card.,{B},Sorcery,,,1.0,No
Unstable,Summon the Pack,Mythic Rare,"Open a sealed Magic booster pack, reveal the cards, and put all creature cards revealed this way onto the battlefield under your control. They're Zombies in addition to their other types. (Remove those cards from your deck before beginning a new game.)",{7}{B},Sorcery,,,8.0,No
Unstable,Zombified,Uncommon,"{4}{B}: Combine Zombified from your graveyard with target host.
{2}{B}, Exile a creature card from your graveyard:
Augment {4}{B} ({4}{B}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,2,2,0.0,No
Unstable,The Big Idea,Rare,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.
Tap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results.",{4}{R}{R},Creature,4,4,6.0,No
Unstable,Box of Free-Range Goblins,Common,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,{4}{R}{R},Sorcery,,,6.0,No
Unstable,Bumbling Pangolin,Common,"When this creature enters the battlefield, you may destroy target artifact.",{3}{R},Host,,,4.0,No
Unstable,Common Iguana,Common,"When this creature enters the battlefield, you may discard a card. If you do, draw a card.",{1}{R},Host,,,2.0,No
Unstable,The Countdown Is at One,Rare,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.",{3}{R}{R},Sorcery,,,5.0,No
Unstable,Feisty Stegosaurus,Common,"When this creature enters the battlefield, roll a six-sided die. This creature deals damage equal to the result to target creature an opponent controls.",{4}{R},Host,,,5.0,No
Unstable,Garbage Elemental (a),Uncommon,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)",{4}{R},Creature,2,4,5.0,No
Unstable,Garbage Elemental (b),Uncommon,"When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",{4}{R},Creature,3,1,5.0,No
Unstable,Garbage Elemental (c),Uncommon,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
When Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",{4}{R},Creature,3,2,5.0,No
Unstable,Garbage Elemental (d),Uncommon,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
When Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent.",{4}{R},Creature,3,3,5.0,No
Unstable,Garbage Elemental (e),Uncommon,"Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.)",{4}{R},Creature,4,3,5.0,No
Unstable,Garbage Elemental (f),Uncommon,"Last strike (This creature deals combat damage after creatures without last strike.)
Battalion â€” Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn.",{4}{R},Creature,6,5,5.0,No
Unstable,Goblin Haberdasher,Uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
Other creatures you control wearing hats in their art have menace.",{2}{R},Creature,2,2,3.0,No
Unstable,"Half-Orc, Half-",Uncommon,"Trample
At the beginning of each end step, if an opponent was dealt damage this turn,
Augment {1}{R}{R} ({1}{R}{R}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,3,1,0.0,No
Unstable,Hammer Helper,Common,"Gain control of target creature until end of turn. Untap that creature and roll a six-sided die. Until end of turn, it gains haste and gets +X/+0, where X is the result.",{3}{R},Sorcery,,,4.0,No
Unstable,Hammer Jammer,Uncommon,"As Hammer Jammer enters the battlefield, roll a six-sided die. Hammer Jammer enters the battlefield with a number of +1/+1 counters on it equal to the result.
Whenever you roll a die, remove all +1/+1 counters from Hammer Jammer, then put a number of +1/+1 counters on it equal to the result.",{3}{R},Creature,0,0,4.0,No
Unstable,Hammerfest Boomtacular,Uncommon,"Whenever you cast a spell with a Goblin Explosioneers watermark, Hammerfest Boomtacular deals 2 damage to target creature or player.",{3}{R}{R},Enchantment,,,5.0,No
Unstable,Infinity Elemental,Mythic Rare,(This creature has INFINITE POWER.),{4}{R}{R}{R},Creature,âˆž,5,7.0,No
Unstable,It That Gets Left Hanging,Common,"When It That Gets Left Hanging enters the battlefield, ask a person outside the game to high-five you. If he or she won't, It That Gets Left Hanging gains haste until end of turn.",{5}{R},Creature,5,4,6.0,No
Unstable,Just Desserts,Common,Just Desserts deals Ï€ damage to target creature. (Ï€ is the ratio of a circle's circumference to its diameter. (It's a smidgen more than 3.)),{1}{R},Instant,,,2.0,No
Unstable,Painiac,Common,"At the beginning of your upkeep, roll a six-sided die. Painiac gets +X/+0 until end of turn, where X is the result.",{2}{R},Creature,0,3,3.0,No
Unstable,Party Crasher,Uncommon,"Haste
You can attack with Party Crasher once each combat during each opponent's turn.",{4}{R},Creature,3,3,5.0,No
Unstable,Steamflogger Boss,Rare,"Other Riggers you control get +1/+0 and have haste.
If a Rigger you control would assemble a Contraption, it assembles two Contraptions instead.",{3}{R},Creature,3,3,4.0,No
Unstable,Steamflogger of the Month,Rare,"When Steamflogger of the Month enters the battlefield, it assembles a Contraption for each Contraption you control. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{R}{R},Creature,3,3,5.0,No
Unstable,Steamflogger Temp,Uncommon,"{6}, {T}: Steamflogger Temp assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{1}{R},Creature,2,1,2.0,No
Unstable,Steamfloggery,Uncommon,"Roll a six-sided die. Assemble a number of Contraptions equal to the result. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{4}{R}{R},Instant,,,6.0,No
Unstable,Super-Duper Death Ray,Uncommon,"Trample (This spell can deal excess damage to its target's controller.)
Super-Duper Death Ray deals 4 damage to target creature.",{2}{R},Instant,,,3.0,No
Unstable,Target Minotaur,Common,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",{1}{R},Creature,2,1,2.0,No
Unstable,Three-Headed Goblin,Rare,"Triple strike (This creature deals first-strike, regular, and last-strike combat damage.)",{3}{R}{R},Creature,3,3,5.0,No
Unstable,Work a Double,Common,Assemble two Contraptions. (Put the top card of your Contraption deck face up onto one of your sprockets. Then repeat this process.),{2}{R}{R},Sorcery,,,4.0,No
Unstable,Wrench-Rigger,Common,"When Wrench-Rigger enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{R},Creature,1,1,1.0,No
Unstable,As Luck Would Have It,Rare,"Hexproof
Whenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. (Count both rolls if you reroll a die.)",{G},Enchantment,,,1.0,No
Unstable,Beast in Show,Common,Trample,{4}{G}{G},Creature,6,4,6.0,No
Unstable,Chittering Doom,Uncommon,"Whenever you roll a 4 or higher on a die, create a 1/1 green Squirrel creature token.",{3}{G},Enchantment,,,4.0,No
Unstable,Clever Combo,Uncommon,"Search your library for a host card or a card with augment, reveal it, put it into your hand, then shuffle your library.",{1}{G},Sorcery,,,2.0,No
Unstable,Druid of the Sacred Beaker,Uncommon,{T}: Add {G} to your mana pool for each Crossbreed Labs watermark among permanents you control.,{2}{G},Creature,2,2,3.0,No
Unstable,Eager Beaver,Common,"When this creature enters the battlefield, you may untap target permanent.",{2}{G},Host,,,3.0,No
Unstable,Earl of Squirrel,Rare,"Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)
Creature tokens you control are Squirrels in addition to their other creature types.
Other Squirrels you control get +1/+1.",{4}{G}{G},Creature,4,4,6.0,No
Unstable,First Pick,Uncommon,Destroy target artifact or enchantment. Assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.),{3}{G},Instant,,,4.0,No
Unstable,Ground Pounder,Common,"{3}{G}: Roll a six-sided die. Ground Pounder gets +X/+X until end of turn, where X is the result.
Whenever you roll a 5 or higher on a die, Ground Pounder gains trample until end of turn.",{1}{G},Creature,2,2,2.0,No
Unstable,"Half-Squirrel, Half-",Uncommon,"Whenever a nontoken creature enters the battlefield,
Augment {G} ({G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,-1,0,0.0,No
Unstable,Hydradoodle,Rare,"As Hydradoodle enters the battlefield, roll X six-sided dice. Hydradoodle enters the battlefield with a number of +1/+1 counters on it equal to the total of those results.
Reach, trample",{X}{X}{G}{G},Creature,0,0,2.0,No
Unstable,Ineffable Blessing (a),Rare,"As Ineffable Blessing enters the battlefield, choose Flavorful or Bland.
â€¢ Flavorful â€” Whenever a creature with flavor text enters the battlefield under your control, draw a card.
â€¢ Bland â€” Whenever a creature without flavor text enters the battlefield under your control, draw a card.",{1}{G},Enchantment,,,2.0,No
Unstable,Ineffable Blessing (b),Rare,"As Ineffable Blessing enters the battlefield, choose an artist.
Whenever a creature with art by the chosen artist enters the battlefield under your control, draw a card.",{1}{G},Enchantment,,,2.0,No
Unstable,Ineffable Blessing (c),Rare,"As Ineffable Blessing enters the battlefield, choose white-bordered or silver-bordered.
Whenever a creature with the chosen border enters the battlefield under your control, draw a card.",{1}{G},Enchantment,,,2.0,No
Unstable,Ineffable Blessing (d),Rare,"As Ineffable Blessing enters the battlefield, choose a rarity.
Whenever a creature with the chosen rarity enters the battlefield under your control, draw a card.",{1}{G},Enchantment,,,2.0,No
